Material,Su,Sy,E,G,mu,Ro,Use
NF NF 15D3 ,440,270,206000,80000,0.3,7860,True
NF NF 15CD405 ,450,295,206000,80000,0.3,7860,True
NF NF 25CD4 ,780,600,206000,80000,0.3,7860,False
NF NF 34CD4 ,880,700,206000,80000,0.3,7860,False
NF NF 42CD4 heat treated,980,770,206000,80000,0.3,7860,False
NF NF 42CD4TS face hardened,980,815,206000,80000,0.3,7860,False
NF NF 50CV4 heat treated,1320,1125,206000,80000,0.3,7860,False
NF NF 40CAD612 nitrided,900,720,206000,80000,0.3,7860,False
NF NF 30CD12 heat treated,1030,810,206000,80000,0.3,7860,False
NF NF 30CD12 nitrided,980,770,206000,80000,0.3,7860,False
NF NF 16NC6 case-hardened,1100,800,206000,80000,0.3,7860,False
NF NF 18NCD6 case-hardened,1200,850,206000,80000,0.3,7860,False
NF NF 30CND8 heat treated,1030,850,206000,80000,0.3,7860,False
NF NF Z6C13 ,420,225,206000,80000,0.3,7860,False
NF NF Z12C13 ,630,440,206000,80000,0.3,7860,False
NF NF Z20C13 ,730,540,206000,80000,0.3,7860,False
NF NF Z30C13 ,830,635,206000,80000,0.3,7860,False
NF NF Z8C17 ,440,245,206000,80000,0.3,7860,False
NF NF Z8CA7 ,440,240,206000,80000,0.3,7860,False
NF NF Z45CS9 ,900,700,206000,80000,0.3,7860,False
NF NF Z6CA13 ,420,225,206000,80000,0.3,7860,False
NF NF Z10C13 ,590,410,206000,80000,0.3,7860,False
NF NF Z85CDMV1802 ,1000,800,206000,80000,0.3,7860,False
NF NF Z6CN1809 ,510,195,206000,80000,0.3,7860,False
NF NF Z6CNT1810 ,510,205,206000,80000,0.3,7860,False
NF NF Z6CNT1812 ,510,205,206000,80000,0.3,7860,False
NF NF Z2CN1810 ,450,185,206000,80000,0.3,7860,False
NF NF Z15CN2413 ,540,240,206000,80000,0.3,7860,False
NF NF Z12NCS3516 ,590,240,206000,80000,0.3,7860,False
NF NF Z12CN2520 ,540,240,206000,80000,0.3,7860,False
NF NF Z12CNS2520 ,540,240,206000,80000,0.3,7860,False
NF NF Z15CN2413 ,540,240,206000,80000,0.3,7860,False
NF NF Z12CNS2520 ,540,240,206000,80000,0.3,7860,False
NF NF Z6CND1711 ,530,205,206000,80000,0.3,7860,False
NF NF Z6CNDT1712 ,490,216,206000,80000,0.3,7860,False
NF NF Z2CND1712 ,470,186,206000,80000,0.3,7860,False
NF NF Z2CND1713 ,480,195,206000,80000,0.3,7860,False
NF NF Z6CND1712 ,530,205,206000,80000,0.3,7860,False
NF NF Z52CMN2109 ,950,600,206000,80000,0.3,7860,False
NF Grey cast iron ,150,150,85000,34000,0.25,7160,False
NF Grey cast iron ,200,200,85000,34000,0.25,7160,False
NF Grey cast iron ,250,250,85000,34000,0.25,7160,False
NF Grey cast iron ,300,300,85000,34000,0.25,7160,False
NF Grey cast iron ,350,350,85000,34000,0.25,7160,False
NF Nodular cast iron ,500,320,169000,70000,0.2,7160,False
NF Nodular cast iron ,600,370,169000,70000,0.2,7160,False
NF Nodular cast iron ,700,420,169000,70000,0.2,7160,False
NF Nodular cast iron ,800,480,169000,70000,0.2,7160,False
NF Malleable cast iron ,400,180,160000,64000,0.27,7160,False
NF Malleable cast iron ,500,260,160000,64000,0.27,7160,False
JIS JIS SUM22 ,460,375,206000,80000,0.3,7860,True
JIS JIS SS330 ,360,195,206000,80000,0.3,7860,False
JIS JIS STKM13B ,440,305,206000,80000,0.3,7860,True
JIS JIS STKM12A ,340,175,206000,80000,0.3,7860,False
JIS JIS STKM12C ,470,355,206000,80000,0.3,7860,True
JIS JIS SS400 ,400,235,206000,80000,0.3,7860,False
JIS JIS SS490 ,490,275,206000,80000,0.3,7860,True
JIS JIS SM52OC ,520,335,206000,80000,0.3,7860,False
JIS JIS SM52OB ,520,335,206000,80000,0.3,7860,False
JIS JIS STKM16A ,510,325,206000,80000,0.3,7860,False
JIS JIS STKM16C ,620,460,206000,80000,0.3,7860,False
JIS JIS SM570 ,570,450,206000,80000,0.3,7860,False
JIS JIS S10C ,420,300,206000,80000,0.3,7860,True
JIS JIS S15C ,440,340,206000,80000,0.3,7860,True
JIS JIS S22C ,420,250,206000,80000,0.3,7860,False
JIS JIS S25C ,480,300,206000,80000,0.3,7860,True
JIS JIS S30C ,540,340,206000,80000,0.3,7860,False
JIS JIS S35C ,600,370,206000,80000,0.3,7860,False
JIS JIS S40C ,630,400,206000,80000,0.3,7860,False
JIS JIS S45C ,650,430,206000,80000,0.3,7860,False
JIS JIS S50C ,700,460,206000,80000,0.3,7860,False
JIS JIS S55C ,750,500,206000,80000,0.3,7860,False
JIS JIS S58C ,780,510,206000,80000,0.3,7860,False
JIS JIS SMn433 ,700,490,206000,80000,0.3,7860,False
JIS JIS SCr430 ,770,570,206000,80000,0.3,7860,False
JIS JIS SCr435 ,800,600,206000,80000,0.3,7860,False
JIS JIS SCr440 ,880,640,206000,80000,0.3,7860,False
JIS JIS SMnC420 ,980,680,206000,80000,0.3,7860,False
JIS JIS SUP9 heat treated,1226,1079,206000,80000,0.3,7860,False
JIS JIS SCM430 ,830,630,206000,80000,0.3,7860,False
JIS JIS SCM435 ,880,660,206000,80000,0.3,7860,False
JIS JIS SCM440 ,930,735,206000,80000,0.3,7860,False
JIS JIS SCM445 ,860,680,206000,80000,0.3,7860,False
JIS JIS SUP10 ,1226,1079,206000,80000,0.3,7860,False
JIS JIS SNC815 ,930,680,206000,80000,0.3,7860,False
JIS JIS SNCM815 ,1100,800,206000,80000,0.3,7860,False
JIS JIS SNCM447 ,1100,900,206000,80000,0.3,7860,False
JIS JIS SNCM630 ,1200,1000,206000,80000,0.3,7860,False
JIS JIS SUS403 ,588,392,206000,80000,0.3,7860,False
JIS JIS SUS405 ,412,177,206000,80000,0.3,7860,False
JIS JIS SUS410 ,539,343,206000,80000,0.3,7860,False
JIS JIS SUS420J1 ,637,441,206000,80000,0.3,7860,False
JIS JIS SUS420J2 ,735,539,206000,80000,0.3,7860,False
JIS JIS SUS430 ,430,205,206000,80000,0.3,7860,False
JIS JIS SUS431 ,785,588,206000,80000,0.3,7860,False
JIS JIS SUS304 ,520,205,206000,80000,0.3,7860,False
JIS JIS SUS303 ,520,205,206000,80000,0.3,7860,False
JIS JIS SUS316 ,520,205,206000,80000,0.3,7860,False
JIS JIS SUS316L ,480,175,206000,80000,0.3,7860,False
JIS JIS SUS321 ,520,205,206000,80000,0.3,7860,False
JIS JIS SUS304L ,480,175,206000,80000,0.3,7860,False
JIS JIS SUS3093 ,520,205,206000,80000,0.3,7860,False
JIS JIS SUH1 ,930,685,206000,80000,0.3,7860,False
JIS JIS SUH330 ,560,205,206000,80000,0.3,7860,False
JIS JIS SUH310 ,590,205,206000,80000,0.3,7860,False
JIS JIS SUH35 ,880,560,206000,80000,0.3,7860,False
JIS Grey cast iron ,150,150,85000,34000,0.25,7160,False
JIS Grey cast iron ,200,200,85000,34000,0.25,7160,False
JIS Grey cast iron ,250,250,85000,34000,0.25,7160,False
JIS Grey cast iron ,300,300,85000,34000,0.25,7160,False
JIS Grey cast iron ,350,350,85000,34000,0.25,7160,False
JIS Nodular cast iron ,500,320,169000,70000,0.2,7160,False
JIS Nodular cast iron ,600,370,169000,70000,0.2,7160,False
JIS Nodular cast iron ,700,420,169000,70000,0.2,7160,False
JIS Nodular cast iron ,800,480,169000,70000,0.2,7160,False
JIS Malleable cast iron ,400,180,160000,64000,0.27,7160,False
JIS Malleable cast iron ,500,260,160000,64000,0.27,7160,False
